lr-AdamW,step,val_loss,epoch,train_loss_epoch,train_loss_step
0.0005,123,,,,
,125,3.1259162425994873,41,,
,125,,41,3.0086445808410645,
0.0005,126,,,,
,128,3.2099597454071045,42,,
,128,,42,3.083425521850586,
0.0005,129,,,,
,131,2.983999252319336,43,,
,131,,43,2.2647414207458496,
0.0005,132,,,,
,134,3.1405563354492188,44,,
,134,,44,2.8076913356781006,
0.0005,135,,,,
,137,3.314424991607666,45,,
,137,,45,2.1092488765716553,
0.0005,138,,,,
,140,3.060067892074585,46,,
,140,,46,4.050004959106445,
0.0005,141,,,,
,143,2.6143245697021484,47,,
,143,,47,2.0951764583587646,
0.0005,144,,,,
,146,3.829946994781494,48,,
,146,,48,2.0103964805603027,
0.0005,147,,,,
,149,,49,,2.5585427284240723
,149,2.90618634223938,49,,
,149,,49,2.1905157566070557,
0.0005,150,,,,
,152,1.4535895586013794,50,,
,152,,50,1.8959295749664307,
0.0005,153,,,,
,155,2.1534764766693115,51,,
,155,,51,1.707745909690857,
0.0005,156,,,,
,158,3.010364532470703,52,,
,158,,52,1.6190226078033447,
0.0005,159,,,,
,161,2.136418104171753,53,,
,161,,53,2.3309717178344727,
0.0005,162,,,,
,164,2.8216915130615234,54,,
,164,,54,1.4788851737976074,
0.0005,165,,,,
,167,2.474752426147461,55,,
,167,,55,1.7067440748214722,
0.0005,168,,,,
,170,2.490496873855591,56,,
,170,,56,1.9179295301437378,
0.0005,171,,,,
,173,2.2667694091796875,57,,
,173,,57,1.364436149597168,
0.0005,174,,,,
,176,2.093372344970703,58,,
,176,,58,1.106765627861023,
0.0005,177,,,,
,179,2.1023752689361572,59,,
,179,,59,0.8265244960784912,
0.0005,180,,,,
,182,1.9796631336212158,60,,
,182,,60,0.6121624112129211,
0.0005,183,,,,
,185,1.3154562711715698,61,,
,185,,61,0.3376549184322357,
0.0005,186,,,,
,188,1.4279155731201172,62,,
,188,,62,1.409767746925354,
0.0005,189,,,,
,191,1.4799203872680664,63,,
,191,,63,0.803272008895874,
0.0005,192,,,,
,194,1.2805925607681274,64,,
,194,,64,1.5593258142471313,
0.0005,195,,,,
,197,1.5327996015548706,65,,
,197,,65,0.6592457890510559,
0.0005,198,,,,
,199,,66,,0.9508464336395264
,200,1.6969712972640991,66,,
,200,,66,0.8400295972824097,
0.0005,201,,,,
,203,1.6464450359344482,67,,
,203,,67,0.9534292221069336,
0.0005,204,,,,
,206,2.280139684677124,68,,
,206,,68,0.40774452686309814,
0.0005,207,,,,
,209,1.1211849451065063,69,,
,209,,69,0.3425242602825165,
0.0005,210,,,,
,212,1.065001368522644,70,,
,212,,70,1.0442925691604614,
0.0005,213,,,,
,215,1.5892215967178345,71,,
,215,,71,0.4208020567893982,
0.0005,216,,,,
,218,1.753491997718811,72,,
,218,,72,0.9878933429718018,
5e-05,219,,,,
,221,1.5058565139770508,73,,
,221,,73,0.6534861922264099,
5e-05,222,,,,
,224,1.2621020078659058,74,,
,224,,74,0.5129581093788147,
5e-05,225,,,,
,227,1.1508209705352783,75,,
,227,,75,0.08468715101480484,
5e-05,228,,,,
,230,1.160028100013733,76,,
,230,,76,-0.47980430722236633,
5e-05,231,,,,
,233,1.133373498916626,77,,
,233,,77,-0.6083898544311523,
5e-05,234,,,,
,236,1.0252853631973267,78,,
